Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
The Jump Off,2003,6UZS3KgNc0NF13bbtQTzD6,Lil' Kim,234093,57,0.837,0.378,0.905
Intuition,2003,6oeawig19gwjWTBzE3WuDq,The Backseat Lovers,210588,51,0.319,0.0332,0.0598
Hell Yeah,2003,3QHGfxhjexLaMKGHXagfRs,SoFaygo,168160,64,0.696,0.0438,0.287
Beer for My Horses,2003,7E2DqvnVtbIrFrL5X6YH9Q,Toby Keith,204000,69,0.717,0.0473,0.805
Holidae In,2003,0FmCLEHfINGqwlyzvklNqy,Chingy,314400,58,0.81,0.181,0.948
Suga Suga,2003,6Nq5lE0CeOAAAqN4qhkbZU,Baby Bash,239026,74,0.662,0.268,0.535
Love of My Life (An Ode to Hip-Hop),2003,0ieS2bue78yadTdPiyzsaO,Erykah Badu,337573,48,0.618,0.398,0.462
Fighter,2003,7nXq1vaZiz7PdbfojpPjW5,Christina Aguilera,245960,68,0.435,0.201,0.45
Thugz Mansion,2003,3eBBbAEBQdr6tkUUd8gyuQ,2Pac,247600,63,0.703,0.281,0.893
Clocks,2003,0BCPKOYdS2jbQ8iyB56Zns,Coldplay,307879,83,0.577,0.0279,0.255
Put That Woman First,2003,3OQu3z3okKVmWxSXTTHak5,Jaheim,245773,58,0.649,0.132,0.513
Rain on Me,2003,7ju97lgwC2rKQ6wwsf9no9,Lady Gaga,182200,74,0.672,0.0397,0.646
19 Somethin',2003,0ElpjZyX8YBiXuYcDC1Ci9,Mark Wills,200466,60,0.58,0.0726,0.814
"Can't Stop, Won't Stop",2003,4L1zI1GJxi0Qq38aSYmsS0,King Combs,158350,61,0.906,0.294,0.813
Red Dirt Road,2003,3EZzghqykkfOB0Z8d0kTSt,Brooks & Dunn,260360,68,0.555,0.0403,0.479
What Was I Thinkin',2003,0r8iDf65NHgFgZOGLwj5r8,Dierks Bentley,260826,71,0.551,0.044,0.933
Flying Without Wings,2003,1pDylAt4nUPy2r72KRQDYX,Westlife,216266,63,0.457,0.0301,0.283
Sing for the Moment,2003,3CpoeW0cZSDzIRv5z34F87,Eminem,339546,78,0.668,0.137,0.185
Have You Forgotten?,2003,5JWuz7zukN8z9JLNm29U5K,Darryl Worley,242293,49,0.478,0.0341,0.343
"No Shoes, No Shirt, No Problems",2003,208bYsadJ56km31IENM2qS,Kenny Chesney,209666,61,0.719,0.032,0.669
Come Over,2003,2P8i4ibQlXovki9IIPPubS,Noah Kahan,197821,67,0.624,0.0365,0.438
Sick of Being Lonely,2003,0rBzABScu9c6D1Juislm2z,Field Mob,229160,50,0.692,0.105,0.856
Step in the Name of Love,2003,7lrAsaTw9CTh5uSr0fvHOd,R. Kelly,432146,49,0.775,0.119,0.775
I Want You,2003,7FHj19QQigvMH1onMYRNLn,Mitski,183792,73,0.339,0.0348,0.0655
Like a Stone,2003,3YuaBvuZqcwN3CEAyyoaei,Audioslave,293960,79,0.614,0.0276,0.516
Don't Know Why,2003,1zNXF2svmdlNxfS5XeNUgr,Norah Jones,186251,77,0.745,0.0276,0.635
Superman,2003,4woTEX1wYOTGDqNXuavlRC,Eminem,350320,86,0.802,0.0564,0.58
Real Good Man,2003,4ns2xaym21aBOOUN1vaBPJ,Tim McGraw,254600,51,0.56,0.0266,0.639
Say Yes,2003,6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,209156,89,0.49,0.0254,0.166
Yeah!,2004,5rb9QrpfcKFHM1EUbSIurX,USHER,250373,83,0.894,0.112,0.583
Burn,2004,5jfhLCSIFUO4ndzNRh4w4G,Zach Bryan,268856,81,0.508,0.0755,0.134
If I Ain’t Got You,2004,1zJpJ3HPRtAYYNLWm5BJEf,James Bay,261120,63,0.652,0.111,0.328
This Love,2004,6ECp64rv50XVz93WvxXMGF,Maroon 5,206200,82,0.712,0.0378,0.809
The Way You Move,2004,5z7mYFfhw6N6f23VwrokJD,Outkast,234000,70,0.871,0.0464,0.635
The Reason,2004,77loZpT5Y5PRP1S451P9Yz,Hoobastank,232800,82,0.472,0.029,0.0681
I Don’t Wanna Know,2004,0JCpXJE996Bc6MAbPfiSg1,Knox,180555,50,0.705,0.0787,0.934
