Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Up,2021,5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,197706,81,0.701,0.0455,0.792
Fancy Like,2021,58UKC45GPNTflCN6nwCUeF,Walker Hayes,161853,74,0.647,0.06,0.855
Dakiti,2021,47EiUVwUp4C9fGccaPuUCS,Bad Bunny,205090,80,0.731,0.0544,0.145
Best Friend,2021,6icN4CVRptOTEXbgKH7EXE,The Weeknd,163504,0,0.737,0.105,0.528
Rapstar,2021,18vXApRmJSgQ6wG2ll9AOg,Polo G,165925,80,0.789,0.242,0.437
Heartbreak Anniversary,2021,3FAJ6O0NOHQV8Mc5Ri6ENp,Giveon,198370,81,0.449,0.0791,0.543
For the Night,2021,0PvFJmanyNQMseIFrU708S,Pop Smoke,190476,79,0.823,0.2,0.347
Calling My Phone,2021,3J8EOeKLTLXORtWPpOU5bE,Lil Tjay,205458,80,0.907,0.0539,0.202
Beautiful Mistakes,2021,5zFglKYiknIxks8geR8rcL,Maroon 5,227395,79,0.713,0.027,0.721
Holy,2021,3itgPtXSu4I9mr2QD6yrzP,Zach Bryan,216026,80,0.415,0.0393,0.425
On Me,2021,4Iedi94TIaB2GGb1nMB68v,Lil Baby,135959,76,0.856,0.392,0.483
You Broke Me First,2021,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,169265,83,0.667,0.05,0.0823
Traitor,2021,5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,229226,87,0.38,0.0338,0.0849
Back in Blood,2021,7FGdjbZ32vMybPuP0IuE7d,Pooh Shiesty,184489,71,0.759,0.384,0.831
I Hope,2021,23T0OX7QOiIUFShSzbJ5Uo,Gabby Barrett,210772,75,0.466,0.0429,0.377
Dynamite,2021,1DqdF42leyFIzqNDv9CjId,Taio Cruz,203866,71,0.754,0.0853,0.818
Wockesha,2021,0nqhKXDjsyBMvbeWmgijD0,Moneybagg Yo,180930,66,0.582,0.619,0.771
